Type,Name,Domain,Range,Description
Class,prov:Entity,,,"Thing with some fixed aspects; may be physical, digital, or conceptual."
Class,prov:Activity,,,Something that occurs over time and acts upon entities.
Class,prov:Agent,,,Something that bears responsibility for an activity taking place.
Class,prov:Plan,,,A plan that guides the execution of an activity.
Class,prov:Role,,,The function of an entity or agent in an activity.
Class,prov:Collection,,,A set of entities.
Class,prov:Bundle,,,A named set of provenance descriptions.
Class,prov:Location,,,A place or region.
Class,prov:Generation,,,An instantaneous event marking entity creation.
Class,prov:Usage,,,An event of an entity being used.
Class,prov:Invalidation,,,Event marking entity invalidation.
Class,prov:Start,,,Event marking activity start.
Class,prov:End,,,Event marking activity end.
Class,prov:Communication,,,Event marking information flow between activities.
Class,prov:Association,,,Links an activity to an agent.
Class,prov:Attribution,,,Assigns credit for an entity to an agent.
Class,prov:Delegation,,,Delegation relation between agents.
Class,prov:Derivation,,,Indicates entity derivation.
Class,prov:Influence,,,Superclass of influence relations.
ObjectProperty,prov:wasGeneratedBy,prov:Entity,prov:Activity,Links an entity to the activity that generated it.
ObjectProperty,prov:used,prov:Activity,prov:Entity,Indicates an activity used an entity.
ObjectProperty,prov:wasInformedBy,prov:Activity,prov:Activity,One activity informs another.
ObjectProperty,prov:wasStartedBy,prov:Activity,prov:Entity/Activity,Activity start trigger.
ObjectProperty,prov:wasEndedBy,prov:Activity,prov:Entity/Activity,Activity end trigger.
ObjectProperty,prov:wasInvalidatedBy,prov:Entity,prov:Activity,Entity became invalid due to an activity.
ObjectProperty,prov:wasAssociatedWith,prov:Activity,prov:Agent,Associates an agent with an activity.
ObjectProperty,prov:wasAttributedTo,prov:Entity,prov:Agent,Credits an agent for an entityâ€™s existence.
ObjectProperty,prov:actedOnBehalfOf,prov:Agent,prov:Agent,Delegation between agents.
ObjectProperty,prov:wasDerivedFrom,prov:Entity,prov:Entity,Derivation between entities.
ObjectProperty,prov:alternateOf,prov:Entity,prov:Entity,Indicates alternative representations.
ObjectProperty,prov:specializationOf,prov:Entity,prov:Entity,Indicates specialization hierarchy.
ObjectProperty,prov:hadMember,prov:Collection,prov:Entity,Collection membership.
ObjectProperty,prov:hadPlan,prov:Association,prov:Plan,Plan followed in an activity.
ObjectProperty,prov:hadRole,prov:Association,prov:Role,Role of agent or entity.
ObjectProperty,prov:atLocation,prov:Entity/Activity,prov:Location,Spatial context.
DataProperty,prov:startedAtTime,prov:Activity,xsd:dateTime,Start time of activity.
DataProperty,prov:endedAtTime,prov:Activity,xsd:dateTime,End time of activity.
DataProperty,prov:generatedAtTime,prov:Entity,xsd:dateTime,Time entity was generated.
DataProperty,prov:invalidatedAtTime,prov:Entity,xsd:dateTime,Time entity was invalidated.
DataProperty,prov:value,prov:Entity,rdfs:Literal,Literal value held by an entity.
DataProperty,prov:atTime,prov:InstantaneousEvent,xsd:dateTime,Timestamp for an event.
